Q.yearborn,Q.gender,Q.ethnicity,What do you use to stream TV shows or movies? Select all that apply.,"Of the two options, how do you identify?",Which statement applies to you? Select one.,Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which statement best applies to you?,Have you canceled a streaming subscription in the past year?,Why did you cancel the streaming subscription in the past year? Select all that apply.,How many hours per week do you spend watching TV shows?,How many hours per week do you spend watching movies?,How many hours per week do you spend playing video games?,How many hours per week do you spend listening to podcasts or audiobooks?,How many hours per week do you spend listening to music?,"Of the below list, which is your favorite to do?","When you are streaming a TV show or movie, which do you primarily prefer?","When you are streaming a TV show or movie, which do you primarily prefer?","When you discover a new TV show or movie, how do you typically first hear about it? Select one.",How important is it to you to be the first of your friend group to discover a new TV show or movie?
1997,Female,"['White or Caucasian', 'Hispanic']","['Roku ', 'Chromecast']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,6-8 hours,1-5 hours,1-5 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,A little important
1997,Female,['White or Caucasian'],['Smartphone'],Extrovert,None of the above,"['Hulu', 'Netflix', 'Disney+']",Hulu,"['Spotify', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,0 hours,1-5 hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
2000,Male,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Firestick']",Extrovert,I am a part time student with a job,"['Apple TV+', 'Disney+', 'Peacock', 'Crunchyroll']",Disney+,"['Apple Music', 'Pandora', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Other (please specify)'],< 1 hour,6-8 hours,6-8 hours,1-5 hours,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
1999,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Apple TV', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Sling', 'Google TV+', 'Apple TV+', 'Disney+', 'HBO Max', 'ESPN+', 'Discovery+']",Hulu,"['Iheartradio', 'Spotify', 'Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Pandora,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,1-5 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as an ad on a streaming app,Very important
2000,Female,['Black or African American'],['Smartphone'],Introvert,I am a full time student,"['Hulu', 'Disney+']",Disney+,['Amazon Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,< 1 hour,0 hours,1-5 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Very important
1997,Female,['White or Caucasian'],['Smart TV'],Extrovert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'Paramount +', 'HBO Max']",HBO Max,"['SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],1-5 hours,9-11 hours,0 hours,0 hours,6-8 hours,Watching movies,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
1999,Female,['White or Caucasian'],"['Roku ', 'Gaming console', 'Laptop']",Introvert,I am a part time student,"['Hulu', 'Netflix', 'Apple TV+', 'Disney+', 'HBO Max']",HBO Max,['Apple Music'],,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],12+ hours,12+ hours,< 1 hour,0 hours,12+ hours,Watching movies,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
2001,Male,"['White or Caucasian', 'Black or African American']","['Smart TV', 'Roku ', 'Gaming console']",Extrovert,I am a full time student,['Hulu'],,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,['Other (please specify)'],6-8 hours,1-5 hours,9-11 hours,0 hours,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2003,Female,['Black or African American'],"['Smart TV', 'Roku ', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'Crunchyroll']",Crunchyroll,"['Spotify', 'YouTube Music']",YouTube Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,< 1 hour,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Not at all important
2003,Male,['White or Caucasian'],"['Roku ', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'YouTube Premium', 'Paramount +', 'HBO Max', 'Crunchyroll']",Netflix,"['Spotify', 'Amazon Music', 'Audible', 'Pandora', 'YouTube Music']",Pandora,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,6-8 hours,12+ hours,1-5 hours,9-11 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
1999,Male,['White or Caucasian'],"['Gaming console', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Netflix', 'Disney+', 'HBO Max']",Netflix,"['Spotify', 'Apple Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],< 1 hour,0 hours,6-8 hours,< 1 hour,6-8 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Very important
2000,Female,['Black or African American'],"['Chromecast', 'Smartphone', 'Laptop']",Extrovert,I am a full time student,"['Netflix', 'YouTube Premium', 'Apple TV+', 'Disney+', 'Paramount +']",Netflix,"['Amazon Music', 'Pandora', 'YouTube Music']",Pandora,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,1-5 hours,1-5 hours,9-11 hours,Listening to music,Have it on in the background,Watch alone,Seeing it on social media or online,Somewhat important
2003,Female,['Black or African American'],"['Roku ', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Disney+']",Netflix,"['Spotify', 'Apple Music', 'YouTube Music']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,0 hours,1-5 hours,6-8 hours,Watching movies,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2002,Male,['White or Caucasian'],"['Smartphone', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'HBO Max']",Netflix,"['Spotify', 'Tidal']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],< 1 hour,< 1 hour,1-5 hours,< 1 hour,12+ hours,Listening to music,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2003,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'HBO Max']",HBO Max,"['Spotify', 'Amazon Music', 'Pandora', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],1-5 hours,1-5 hours,12+ hours,1-5 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Very important
1997,Female,"['White or Caucasian', 'Black or African American']",['Smart TV'],Introvert,None of the above,"['Hulu', 'Netflix', 'Disney+', 'Paramount +', 'HBO Max']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,['Other (please specify)'],12+ hours,12+ hours,1-5 hours,0 hours,9-11 hours,Watching TV shows,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2004,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'Disney+']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,9-11 hours,0 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,A little important
1998,Female,['White or Caucasian'],"['Smartphone', 'Laptop']",Introvert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max']",HBO Max,"['Spotify', 'Amazon Music', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,12+ hours,6-8 hours,0 hours,1-5 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Not at all important
1999,Male,['Black or African American'],"['Firestick', 'Smartphone', 'Tablet']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video']",Hulu,"['Spotify', 'Apple Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,6-8 hours,1-5 hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Seeing it on social media or online,Very important
2002,Female,['Black or African American'],"['Smart TV', 'Firestick', 'Smartphone']",Introvert,I have a full time job,"['Netflix', 'Amazon Prime Video', 'HBO Max']",Netflix,['Pandora'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,0 hours,1-5 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
2001,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Smartphone']",Introvert,I have a full time job,"['Netflix', 'Amazon Prime Video']",Netflix,"['Iheartradio', 'Amazon Music']",Amazon Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,1-5 hours,< 1 hour,9-11 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Somewhat important
2000,Female,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'Disney+']",Disney+,"['Spotify', 'Amazon Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],< 1 hour,0 hours,1-5 hours,< 1 hour,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,A little important
1998,Male,['Black or African American'],"['Gaming console', 'Smartphone']",Introvert,None of the above,['Amazon Prime Video'],,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,1-5 hours,12+ hours,< 1 hour,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,A little important
2002,Female,['White or Caucasian'],"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+']",Amazon Prime Video,"['Spotify', 'Audible', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],12+ hours,12+ hours,12+ hours,12+ hours,12+ hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Very important
1999,Male,['White or Caucasian'],"['Smart TV', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'HBO Max']",HBO Max,"['Spotify', 'Apple Music', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,12+ hours,< 1 hour,6-8 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2001,Male,['Asian'],"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+']",ESPN+,"['Spotify', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,< 1 hour,6-8 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
2002,Female,['White or Caucasian'],"['Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Disney+', 'Peacock', 'HBO Max']",Hulu,"['Iheartradio', 'Bandcamp']",Iheartradio,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],1-5 hours,1-5 hours,< 1 hour,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Very important
2002,Female,['White or Caucasian'],['Roku'],Extrovert,None of the above,"['Netflix', 'HBO Max']",Netflix,"[""I don't regularly stream music""]",,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,0 hours,0 hours,0 hours,< 1 hour,Watching TV shows,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
2001,Female,['White or Caucasian'],"['Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Disney+', 'Crunchyroll', 'Funimation']",Hulu,"['Spotify', 'Audible', 'Pandora']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],1-5 hours,< 1 hour,12+ hours,< 1 hour,6-8 hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Somewhat important
1997,Male,"['Black or African American', 'Hispanic']","['Smart TV', 'Roku ', 'Firestick', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'HBO Max']",Peacock,"['Spotify', 'Apple Music', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,1-5 hours,1-5 hours,1-5 hours,Listening to music,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Somewhat important
2003,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Firestick', 'Smartphone']",Introvert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Peacock', 'HBO Max', 'FuboTV']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,0 hours,1-5 hours,Watching TV shows,Have it on in the background,Watch alone,Seeing it on social media or online,Not at all important
1997,Female,['Black or African American'],['Smart TV'],Introvert,None of the above,"['Netflix', 'Amazon Prime Video', 'HBO Max']",Amazon Prime Video,['Pandora'],,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,12+ hours,12+ hours,0 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
1997,Female,['Asian'],"['Smartphone', 'Laptop']",Introvert,None of the above,['Netflix'],,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,1-5 hours,9-11 hours,1-5 hours,9-11 hours,Watching TV shows,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Somewhat important
1998,Female,['Asian'],"['Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max', 'Discovery+']",HBO Max,"['Spotify', 'Apple Music']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",9-11 hours,1-5 hours,< 1 hour,1-5 hours,9-11 hours,Watching TV shows,Have it on in the background,Watch alone,Seeing it on social media or online,Not at all important
2002,Male,['Black or African American'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max']",Netflix,"['Spotify', 'Apple Music', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,6-8 hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Somewhat important
1999,Female,['Black or African American'],"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a part time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'HBO Max']",HBO Max,"['Spotify', 'Tidal']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,12+ hours,0 hours,12+ hours,Playing video games,Have it on in the background,Watch with friends/family,Seeing it on social media or online,A little important
2002,Female,['Black or African American'],"['Roku ', 'Firestick', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'Paramount +']",Hulu,"['Apple Music', 'SoundCloud', 'YouTube Music']",YouTube Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,< 1 hour,< 1 hour,1-5 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Very important
1999,Female,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Firestick']",Extrovert,I have a full time job,"['Hulu', 'YouTube Premium', 'Peacock']",Peacock,"['Amazon Music', 'Pandora']",Pandora,I personally pay for most or all of the streaming platforms I use,No,[''],< 1 hour,6-8 hours,1-5 hours,1-5 hours,1-5 hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
1997,Female,['White or Caucasian'],['Smart TV'],Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'HBO Max']",HBO Max,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Other (please specify)'],1-5 hours,1-5 hours,0 hours,6-8 hours,1-5 hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Not at all important
